Position,Name,Weight_mg,N_ug,d15N_AIR,C_ug,d13C_VPDB,d18O_VPDB,Run,C/N_molar,d13C_certified,uncertainty
7,IAEAC6,1.04,0.696615557,-3.459388217,435.0297193,-10.60000881,-48.62222831,260303,728.572,-10.45,0.03
21,IAEAC6,0.91,0.569126436,-9.686722346,383.6124227,-10.6842992,-46.75635802,260303,786.377,-10.45,0.03
28,IAEAC6,1.15,0.59836397,-4.923148815,478.0084078,-10.64702438,-48.64468791,260303,932.002,-10.45,0.03
42,IAEAC6,1.12,0.578612121,-4.379626016,468.1141969,-10.60212736,-47.56864385,260303,943.868,-10.45,0.03
7,IAEAC6,1.08,0.896387285,0.79279767,448.9836828,-10.50825117,-47.82386739,260319,584.362,-10.45,0.03
21,IAEAC6,1.12,0.653368867,-42.24019641,465.534378,-10.54867673,-47.72500759,260319,831.266,-10.45,0.03
28,IAEAC6,1.1,0.591130595,-50.53352451,464.5897328,-10.63650332,-46.94016552,260319,916.923,-10.45,0.03
42,IAEAC6,1.01,0.66008465,-49.47247332,426.0173609,-10.54653729,-46.83250642,260319,752.964,-10.45,0.03
10,USGS40,1.11,106.0091667,-4.592744148,444.9779381,-26.35006361,-49.04395883,260303,4.897,-26.39,0.04
17,USGS40,0.94,89.20763787,-4.517580714,381.3417541,-26.42452287,-47.65175298,260303,4.987,-26.39,0.04
31,USGS40,1.01,95.04172637,-4.826912409,407.0238484,-26.42836787,-48.15918077,260303,4.996,-26.39,0.04
38,USGS40,1.17,111.2639577,-4.774707978,474.0451946,-26.36925159,-48.12533553,260303,4.971,-26.39,0.04
10,USGS40,0.84,77.96903388,-5.05957561,344.1068032,-26.37245832,-46.46178011,260319,5.149,-26.39,0.04
17,USGS40,0.88,81.18953585,-4.786575332,357.4346799,-26.30222737,-46.91731293,260319,5.136,-26.39,0.04
31,USGS40,0.96,88.06788611,-5.238440229,392.1615116,-26.32575899,-46.28115456,260319,5.195,-26.39,0.04
38,USGS40,1.01,93.98494799,-4.923000352,415.9041725,-26.32477971,-46.80032791,260319,5.163,-26.39,0.04
14,USGS88,0.93,151.9975357,15.26340144,390.0350253,-16.32095211,-47.27826285,260303,2.994,-16.06,0.035
23,USGS88,0.9,150.7779567,15.08442331,390.1052855,-16.28554715,-47.43088448,260303,3.018,-16.06,0.035
35,USGS88,0.92,152.9228931,15.28134908,395.7938723,-16.414496,-47.12472792,260303,3.02,-16.06,0.035
44,USGS88,0.8,132.9417297,14.91232437,350.7744531,-16.33666416,-46.23529611,260303,3.078,-16.06,0.035
14,USGS88,0.91,153.7397945,15.01312919,399.1976477,-16.27436693,-46.65751484,260319,3.029,-16.06,0.035
23,USGS88,1.15,190.0266106,15.33073518,486.0701002,-16.2554773,-48.07175102,260319,2.984,-16.06,0.035
35,USGS88,0.84,136.4624167,15.00857593,363.9026671,-16.14878028,-45.36190388,260319,3.111,-16.06,0.035
44,USGS88,0.97,160.5375855,15.0221181,421.1962289,-16.12976275,-47.05485489,260319,3.061,-16.06,0.035
10,USGS41,0.87,93.7653381,47.25965917,402.1937731,36.52526447,-48.20942994,260428,5.004,37.63,0.05
22,USGS41,0.8,85.40337664,47.51536678,373.3663003,36.39058917,-47.54348944,260428,5.1,37.63,0.05
40,USGS41,0.85,79.96073586,47.58642281,348.6224646,36.51071323,-48.41576911,260428,5.087,37.63,0.05
53,USGS41,0.85,73.05192557,48.04003161,321.53226,36.3341923,-46.88393601,260428,5.135,37.63,0.05
10,USGS41,1.01,92.34757379,47.29536779,404.0281573,36.61048083,-47.4812105,260429,5.104,37.63,0.05
21,USGS41,0.94,78.10497104,47.50081276,349.1557388,36.40799313,-46.80248253,260429,5.215,37.63,0.05
55,USGS41,0.99,105.2440434,47.42264185,456.294095,36.72225273,-47.49720986,260429,5.058,37.63,0.05
80,USGS41,1.1,110.6604434,47.20138268,482.424623,36.37991053,-48.86792815,260429,5.086,37.63,0.05
93,USGS41,0.97,92.74728198,46.97449378,410.3116141,36.50165549,-48.94149736,260429,5.161,37.63,0.05
