Position,Name,Weight_mg,N_ug,d15N_AIR,C_ug,d13C_VPDB,d18O_VPDB,Run,C/N_molar
8,NS,0.92,126.8920621,15.21499608,349.5987661,-14.30090386,-47.73996655,260303,3.214
9,NS,0.92,127.479858,14.89628816,350.1104043,-14.25311351,-47.57019791,260303,3.204
15,NS,0.81,111.5324209,15.02388992,309.3798817,-14.40308115,-46.14868317,260303,3.236
16,NS,0.81,112.5299037,15.14759166,312.3338767,-14.44512938,-46.08283903,260303,3.238
22,NS,1.04,143.8240757,15.14215479,394.5306998,-14.29954031,-47.31282004,260303,3.200
29,NS,1.06,145.6916904,14.76036613,400.1324131,-14.44210293,-48.45958783,260303,3.204
30,NS,0.92,124.7049694,15.07135598,345.1419401,-14.398969,-46.91297631,260303,3.229
36,NS,0.9,122.0242694,15.1293027,340.1637153,-14.35755032,-46.03586441,260303,3.252
37,NS,0.92,125.5570748,14.94348873,349.5632223,-14.40306022,-46.27173489,260303,3.248
43,NS,0.97,132.1696013,15.01782782,369.2257391,-14.3657607,-46.82446426,260303,3.259
8,NS,1.06,144.1600443,14.87996855,400.2513427,-14.27392337,-47.27869509,260319,3.239
9,NS,0.93,136.9817527,14.9759163,382.7028575,-14.28427558,-46.81953771,260319,3.259
15,NS,0.99,134.7031154,15.01186297,377.0807416,-14.40526617,-46.90495552,260319,3.266
16,NS,1.13,153.5757956,15.12017781,423.0432914,-14.29011699,-47.39809018,260319,3.214
22,NS,0.84,111.0718404,14.76787233,315.4589587,-14.37954199,-45.5834839,260319,3.313
29,NS,1.16,156.7099574,15.06056238,436.0073156,-14.32719958,-47.03977883,260319,3.246
30,NS,1.19,162.2751002,15.10235395,449.7085128,-14.21112984,-47.10029129,260319,3.233
36,NS,0.91,122.5914321,15.03615599,349.367282,-14.29550532,-45.69386844,260319,3.325
37,NS,1.16,158.7067027,15.18340065,441.579291,-14.27967066,-46.81795742,260319,3.246
43,NS,1.04,139.0312352,14.93854738,391.5376189,-14.2843481,-46.73315824,260319,3.286
